JA04-03-AP-00013
PIPING AND INSTRUMENTATION DIAGRAM\JUDY RISER PLATFORM AND BRIDGE\JASMINE FLOW LINE
Continuity Labels
Number,Tag,x,y,w,h,Pointing Direction,Location
1,JA04-03-AP-00252,182,4948,284,61,right,A6
2,JA04-03-AP-00021,182,4454,284,61,right,A6
3,JA04-97-AE-00035,720,3973,283,60,right,A5
4,JA04-03-AP-00016,182,3973,284,60,right,A5
5,JA04-97-AE-00035,966,3694,61,283,up,B5
6,JA04-97-AE-00035,832,3694,61,283,up,A5
7,JA04-97-AE-00035,698,3694,60,283,up,A5
8,JA04-97-AE-00035,1045,3693,61,283,down,B5
9,JA04-03-AP-00045,5581,3502,284,61,right,G5
10,JA04-03-AP-00045,5581,3232,284,61,right,G4
11,JA04-03-AP-00060,182,2784,284,61,right,A4
12,JA04-03-AP-00045,5581,2650,283,61,right,G4
13,103-PSHHH1006,384,2413,251,108,unknown,A3
14,103-PSHH1006,386,2233,231,109,unknown,A3
15,JA04-03-AP-00014,5581,1573,283,61,right,G2
16,103PSHH1011,5539,1057,232,109,unknown,F2
17,JA04-03-AP-00131,194,632,283,60,right,A1
18,JA04-03-AP-00099,182,419,284,61,right,A1
Equipment symbols
Number,Class,x,y,w,h,Location
51,N/A,N/A,4125,4688,3644,68,36,F5
52,N/A,N/A,SPv,4660,3584,64,36,F5
53,N/A,N/A,NOTE 27,1752,3528,120,36,B5
54,N/A,N/A,NOTE 29,1464,3528,124,36,B5
55,N/A,N/A,L,2012,3524,24,36,C5
56,Pipeline,4,2-vH-O601163SBJO2-NI,5140,3492,308,36,F4
57,Pipeline,75,2-GD-1031002-LGJO1-HT,3744,3492,324,36,E4
58,Pipeline,7,2-GD-1031001-DGJO4-HT,3092,3492,328,36,D4
59,N/A,N/A,1oo2 VOTING,1168,3484,180,36,B4
60,N/A,N/A,HP FLARE,5588,3468,140,36,G4
61,N/A,N/A,103-v1 OO1,3528,3468,136,36,D4
62,N/A,N/A,N I,4640,3448,36,36,F4
63,N/A,N/A,HT,4572,3448,44,36,E4
64,N/A,N/A,"2""x1",4020,3448,84,40,E4
65,Pipeline,104,3;Ox-1031023CFJO1-HT,2112,3448,320,36,C4
66,N/A,N/A,LGJO1,3696,3416,84,36,D4
67,N/A,N/A,DGJO4,3588,3416,92,36,D4
68,N/A,N/A,SBJO2,4640,3404,88,36,F4
69,N/A,N/A,LGJO1,4528,3404,84,36,E4
70,N/A,N/A,N I,2852,3392,36,36,D4
71,N/A,N/A,HT,2756,3392,44,36,C4
72,N/A,N/A,103v1745,4064,3380,140,40,E4
73,N/A,N/A,1157,832,3380,68,36,A4
74,Reducer (Vertical-Up),24,"\3""x1 ,5**",2076,3368,100,44,C4
75,N/A,N/A,',2404,3308,32,32,C4
76,N/A,N/A,SB,2220,3296,37,36,C4
77,N/A,N/A,NOTE 39,232,3280,124,36,A4
78,Pipeline,9,8FvH-0601147-SBJO2-NI,5140,3224,308,36,F4
79,Reducer (Horizontal-Left),26,"8""x2",2304,3212,72,36,C4
80,N/A,N/A,HP FLARE,5588,3200,140,36,G4
81,N/A,N/A,LL,1564,3176,40,36,B4
82,N/A,N/A,LL,1376,3176,40,36,B4
83,N/A,N/A,LL,1184,3176,40,36,B4
84,Pipeline,112,16-OX-1031002-DGJ04-PG,2712,3076,340,36,C4
85,N/A,N/A,NOTE 33,1052,3036,120,36,B4
86,N/A,N/A,4005,2540,2984,68,36,C4
87,N/A,N/A,NOTE 41,3928,2944,120,36,E4
88,N/A,N/A,SPv,2512,2924,64,36,C4
89,N/A,N/A,LGJO1,4068,2900,84,36,E4
90,N/A,N/A,DGJO4,3932,2900,92,36,E4
91,N/A,N/A,LPD,1708,2864,60,36,B4
92,N/A,N/A,SBJO2,4976,2840,92,36,F4
93,N/A,N/A,N I,4980,2800,36,32,F4
94,N/A,N/A,NOTE 51,2696,2800,120,36,C4
95,N/A,N/A,HT,4904,2796,44,36,F4
96,Pipeline,11,0.75-ZS-O761335-DGJO4-HT,2000,2776,360,36,C4
97,N/A,N/A,RS,1480,2776,48,36,B4
98,Pipeline,14,0.75-ZS-O761O18-FSGJO1-NI,552,2776,348,36,A4
99,N/A,N/A,4126,5060,2768,72,36,F4
100,N/A,N/A,N I,1844,2756,36,32,B4
101,N/A,N/A,HT,1952,2752,44,36,C4
102,N/A,N/A,SCALE INHIBITOR,188,2752,244,36,A4
103,N/A,N/A,NOTE 15,2428,2740,124,36,C4
104,N/A,N/A,D,3784,2732,28,36,E4
105,N/A,N/A,"2""x1",3648,2732,84,36,D4
106,N/A,N/A,SPv,5036,2708,64,36,F4
107,N/A,N/A,1m MIN,4312,2708,100,36,E4
108,N/A,N/A,DGJO4,1928,2708,92,36,C4
109,N/A,N/A,SGJO1,1816,2708,88,36,B4
110,Pipeline,15,8-VH-0601107-SBJ02-NI,5140,2640,308,36,F4
111,Pipeline,16,3-Ox-1031025I.GJO1-HT,4080,2640,324,36,E4
112,Pipeline,18,3-Ox-1031013DGJO4-HT,2904,2640,324,36,D4
113,Reducer (Horizontal-Left),33,"8""x3",4732,2628,72,36,F4
114,N/A,N/A,HP FLARE,5588,2616,140,36,G3
115,DB&BBV (Vertical-Left),92,"2x1""",4432,2596,88,36,E3
116,N/A,N/A,"2""x1",3500,2592,80,40,D3
117,N/A,N/A,LO,2500,2528,44,36,C3
118,N/A,N/A,l,2568,2516,32,36,C3
119,N/A,N/A,CSS,320,2452,68,36,A3
120,N/A,N/A,NOTE 31,2136,2420,120,36,C3
121,N/A,N/A,NOTE 11,1296,2364,120,36,B3
122,N/A,N/A,DPPS,2130,2348,82,36,C3
123,N/A,N/A,LO,2496,2324,44,36,C3
124,N/A,N/A,l,2568,2320,32,36,C3
125,N/A,N/A,2oo3 VOTING,2072,2284,184,36,C3
126,N/A,N/A,CSS,320,2272,68,36,A3
127,N/A,N/A,N/A,2592,2192,28,24,C3
128,N/A,N/A,N/A,2288,2168,40,32,C3
129,N/A,N/A,LO,2500,2136,44,36,C3
130,N/A,N/A,l,2568,2124,32,36,C3
131,N/A,N/A,MIN,3952,2036,56,36,E3
132,N/A,N/A,LO,2500,1944,44,36,C3
133,N/A,N/A,NOTE 30,2172,1936,120,36,C3
134,N/A,N/A,l,2568,1932,32,36,C3
135,Pipeline,115,6-0X-1031003-DGJ04-HT,3596,1912,328,36,D3
136,N/A,N/A,CSS,2136,1868,64,36,C3
137,N/A,N/A,DDJO1-PG,4904,1812,140,36,F3
138,N/A,N/A,DGJO4-PG,4728,1812,148,36,F3
139,N/A,N/A,HT,3660,1800,44,36,D3
140,N/A,N/A,HO,3600,1800,48,36,D3
141,N/A,N/A,1oo2 VOTING,2076,1800,180,36,C3
142,N/A,N/A,D,3168,1788,28,36,D3
143,N/A,N/A,"2x1""",3032,1788,88,40,D3
144,N/A,N/A,LO,2500,1768,44,36,C3
145,N/A,N/A,4003,4948,1760,68,36,F3
146,N/A,N/A,l,2568,1756,32,36,C3
147,N/A,N/A,PC 6**,3412,1724,76,48,D2
148,N/A,N/A,SPK,4920,1700,60,36,F2
149,N/A,N/A,NOTE 45,3024,1692,124,36,D2
150,N/A,N/A,HT,4124,1684,44,32,E2
151,N/A,N/A,PG,4188,1676,52,36,E2
152,N/A,N/A,MIN,4288,1656,56,36,E2
153,N/A,N/A,D,3616,1656,28,36,D2
154,Pipeline,92,16-OX-1031005-DDJ01-PG,5320,1648,340,36,F2
155,N/A,N/A,NOTE 51,4956,1640,116,36,F2
156,N/A,N/A,PC,3692,1552,44,36,D2
157,N/A,N/A,PC,3900,1548,44,36,E2
158,N/A,N/A,SEPARATOR,5588,1540,176,36,G2
159,N/A,N/A,M,4836,1480,32,36,F2
160,Reducer (Vertical-Up),55,"16""x14""",3576,1476,116,40,D2
161,N/A,N/A,"NOTES 33, 57",1780,1460,184,40,B2
162,N/A,N/A,NOTE 40,4820,1416,124,36,F2
163,N/A,N/A,D,2944,1408,28,36,D2
164,N/A,N/A,NOTE 3,3592,1388,108,36,D2
165,Reducer (Horizontal-Right),62,"1 6""x14""",3408,1312,100,36,D2
166,N/A,N/A,l,3024,1272,36,36,D2
167,N/A,N/A,1 O3v1 040,2992,1224,140,36,D2
168,N/A,N/A,2oo3 VOTING,5360,1184,180,36,F2
169,N/A,N/A,"NOTES 24, 30, 31, 32, 42, 53",3592,1176,368,40,D2
170,N/A,N/A,CSS,5772,1092,64,36,G2
171,N/A,N/A,4003,3272,1088,72,36,D2
172,N/A,N/A,NOTE 34,4568,1068,124,36,E2
173,N/A,N/A,2oo3 VOTING,4044,1036,180,36,E2
174,N/A,N/A,SPv,3248,1028,64,36,D2
175,N/A,N/A,N I,3052,1028,36,32,D2
176,N/A,N/A,L,4544,1004,24,32,E2
177,N/A,N/A,NOTE 42,3392,1004,124,36,D2
178,N/A,N/A,L,2740,968,24,36,C2
179,N/A,N/A,H,2740,868,28,32,C1
180,N/A,N/A,DUTY SELECT,3396,824,192,36,D1
181,N/A,N/A,LPD,3232,768,60,36,D1
182,N/A,N/A,LL,4264,732,40,36,E1
183,N/A,N/A,LL,4072,732,40,36,E1
184,N/A,N/A,LL,3884,732,40,36,E1
185,N/A,N/A,LL,3692,732,40,36,D1
186,N/A,N/A,HH,5440,724,48,32,F1
187,N/A,N/A,O76v1 982,3292,708,152,48,D1
188,N/A,N/A,"O,75""",3224,656,72,36,D1
189,N/A,N/A,RS,2792,624,44,36,D1
190,Pipeline,20,1.5-ZM-0761004-DGJO4-NI,592,624,336,36,A1
191,N/A,N/A,4008,3300,616,68,36,D1
192,N/A,N/A,MP METHANOI.,200,596,208,36,A1
193,N/A,N/A,NOTE 11,4320,592,120,36,E1
194,N/A,N/A,NOTE 33,3560,592,124,36,D1
195,N/A,N/A,HH,5440,564,48,36,F1
196,N/A,N/A,18,2260,564,36,36,C1
197,N/A,N/A,SPv,3272,560,64,36,D1
198,N/A,N/A,LPD,2616,500,60,36,C1
199,N/A,N/A,"O,75""",2464,500,72,36,C1
200,N/A,N/A,N/A,3288,492,44,32,D1
201,N/A,N/A,O76v1 622,2744,484,144,36,C1
202,N/A,N/A,RS,2432,412,48,36,C1
203,N/A,N/A,HH,5440,408,48,36,F1
204,Pipeline,25,0.75-ZJ-O761016-SDJO1-HT,588,408,352,36,A1
205,N/A,N/A,NOTE 15,2808,396,124,36,D1
206,N/A,N/A,DEOILER1,188,384,148,36,A1
207,N/A,N/A,15,3376,368,36,36,D1
208,Pipeline,22,NOTE///0.75-ZJ-0761032-DDJO1-HT,2936,368,436,56,D1
209,N/A,N/A,DDJO1,2812,344,88,36,D1
210,N/A,N/A,SDJO1,2688,344,88,36,C1
211,N/A,N/A,HH,5440,252,48,32,F1
212,N/A,N/A,NOTE 33,5296,208,124,36,F1
213,N/A,N/A,NOTES 19y 50,3112,4808,184,40,D6
214,N/A,N/A,VENDOR JASMINE,1004,4280,260,36,B5
215,N/A,N/A,"2x1""",424,4056,88,36,A5
216,N/A,N/A,MIN 1M,1600,4032,104,36,B5
217,N/A,N/A,1m MIN.,3820,3552,112,32,E5
218,N/A,N/A,NOTE 11,1620,3036,120,36,B4
219,N/A,N/A,"35, 37 mm",4768,2836,172,44,F4
220,N/A,N/A,NOTE 11,1836,2148,116,36,B3
221,N/A,N/A,"NOTES 33, 57",1308,1500,184,40,B2
222,N/A,N/A,FC 14',3588,1340,88,40,D2
223,N/A,N/A,NOTE 11,5476,836,116,36,F1
224,N/A,N/A,CONFIG,1248,4597,112,24,B6
225,N/A,N/A,MS,1303,4563,39,24,B6
226,N/A,N/A,PC,1306,4529,33,24,B6
227,N/A,N/A,076-v1 979,1528,4552,144,24,B6
228,N/A,N/A,"O.75""",1605,4517,60,25,B6
229,Pipeline,1,0.75-ZE-0761027-DGJO4-HT,2006,4449,348,24,C6
230,N/A,N/A,O76v1 024,1903,4416,131,24,C6
